DateTime,Load,Solar,Temp
2003-11-01 01:00,1001,0,16.8
2003-11-01 02:00,967,0,15.9
2003-11-01 03:00,946,0,15.9
2003-11-01 04:00,939,0,16.9
2003-11-01 05:00,934,0,16.3
2003-11-01 06:00,952,0,15.8
2003-11-01 07:00,1004,0,15.3
2003-11-01 08:00,1095,208,14.6
2003-11-01 09:00,1206,444,13.2
2003-11-01 10:00,1276,464,13.3
2003-11-01 11:00,1250,1011,13.0
2003-11-01 12:00,1249,644,13.1
2003-11-01 13:00,1235,833,13.1
2003-11-01 14:00,1201,1474,13.0
2003-11-01 15:00,1181,1115,12.5
2003-11-01 16:00,1190,575,11.5
2003-11-01 17:00,1303,95,10.1
2003-11-01 18:00,1446,0,8.8
2003-11-01 19:00,1426,0,7.4
2003-11-01 20:00,1323,0,7.4
2003-11-01 21:00,1252,0,7.7
2003-11-01 22:00,1228,0,7.4
2003-11-01 23:00,1164,0,7.2
2003-11-02 00:00,1075,0,6.6
2003-11-02 01:00,1002,0,6.6
2003-11-02 02:00,961,0,6.1
2003-11-02 03:00,941,0,5.7
2003-11-02 04:00,941,0,5.1
2003-11-02 05:00,946,0,5.1
2003-11-02 06:00,986,0,5.0
2003-11-02 07:00,1029,0,4.3
2003-11-02 08:00,1106,95,4.4
2003-11-02 09:00,1217,407,4.8
2003-11-02 10:00,1300,560,5.1
2003-11-02 11:00,1329,480,5.3
2003-11-02 12:00,1380,669,5.8
2003-11-02 13:00,1355,229,6.3
2003-11-02 14:00,1329,475,6.3
2003-11-02 15:00,1329,315,6.2
2003-11-02 16:00,1338,156,6.2
2003-11-02 17:00,1446,30,6.0
2003-11-02 18:00,1546,0,5.8
2003-11-02 19:00,1499,0,5.6
2003-11-02 20:00,1444,0,5.2
2003-11-02 21:00,1355,0,4.8
2003-11-02 22:00,1299,0,4.5
2003-11-02 23:00,1198,0,4.3
2003-11-03 00:00,1104,0,4.1
2003-11-03 01:00,1024,0,4.1
2003-11-03 02:00,993,0,4.2
2003-11-03 03:00,984,0,4.3
2003-11-03 04:00,982,0,4.5
2003-11-03 05:00,1013,0,4.3
2003-11-03 06:00,1079,0,4.5
2003-11-03 07:00,1184,0,4.5
2003-11-03 08:00,1372,109,4.7
2003-11-03 09:00,1435,316,4.7
2003-11-03 10:00,1444,150,5.3
2003-11-03 11:00,1449,264,5.9
2003-11-03 12:00,1437,654,6.5
2003-11-03 13:00,1412,690,6.6
2003-11-03 14:00,1402,591,7.0
2003-11-03 15:00,1390,423,7.6
2003-11-03 16:00,1409,208,7.5
2003-11-03 17:00,1569,39,7.2
2003-11-03 18:00,1678,0,7.4
2003-11-03 19:00,1664,0,7.6
2003-11-03 20:00,1618,0,5.8
2003-11-03 21:00,1568,0,4.0
2003-11-03 22:00,1461,0,2.6
2003-11-03 23:00,1711,0,2.6
2003-11-04 00:00,1621,0,2.7
2003-11-04 01:00,1518,0,2.8
2003-11-04 02:00,1451,0,2.8
2003-11-04 03:00,1431,0,2.9
2003-11-04 04:00,1453,0,2.8
2003-11-04 05:00,1462,0,2.7
2003-11-04 06:00,1566,0,2.4
2003-11-04 07:00,1715,0,1.6
2003-11-04 08:00,1474,76,-0.5
2003-11-04 09:00,1523,185,-0.5
2003-11-04 10:00,1526,550,-0.6
2003-11-04 11:00,1530,431,-1.1
2003-11-04 12:00,1530,615,-1.4
2003-11-04 13:00,1518,277,-1.7
2003-11-04 14:00,1517,316,-1.9
2003-11-04 15:00,1572,310,-2.1
2003-11-04 16:00,1548,196,-1.9
2003-11-04 17:00,1641,13,-1.8
2003-11-04 18:00,1745,0,-1.8
2003-11-04 19:00,1741,0,-1.4
2003-11-04 20:00,1698,0,-1.2
2003-11-04 21:00,1608,0,-1.2
2003-11-04 22:00,1536,0,-1.2
2003-11-04 23:00,1404,0,-1.0
2003-11-05 00:00,1300,0,-0.6
2003-11-05 01:00,1132,0,-0.4
2003-11-05 02:00,1100,0,-0.1
2003-11-05 03:00,1077,0,0.2
2003-11-05 04:00,1072,0,0.2
2003-11-05 05:00,1077,0,0.3
2003-11-05 06:00,1182,0,0.3
2003-11-05 07:00,1380,0,0.4
2003-11-05 08:00,1515,64,0.6
2003-11-05 09:00,1513,181,0.9
2003-11-05 10:00,1501,270,1.4
2003-11-05 11:00,1491,131,2.5
2003-11-05 12:00,1483,144,2.8
2003-11-05 13:00,1466,350,3.3
2003-11-05 14:00,1472,118,4.5
2003-11-05 15:00,1448,79,5.2
2003-11-05 16:00,1471,113,6.1
2003-11-05 17:00,1551,15,6.0
2003-11-05 18:00,1662,0,8.8
2003-11-05 19:00,1650,0,8.2
2003-11-05 20:00,1617,0,7.5
2003-11-05 21:00,1564,0,6.0
2003-11-05 22:00,1478,0,5.5
2003-11-05 23:00,1344,0,4.1
2003-11-06 00:00,1229,0,2.8
2003-11-06 01:00,1116,0,2.2
2003-11-06 02:00,1055,0,2.4
2003-11-06 03:00,1005,0,3.1
2003-11-06 04:00,1000,0,3.4
2003-11-06 05:00,1028,0,3.5
2003-11-06 06:00,1094,0,3.1
2003-11-06 07:00,1229,0,3.3
2003-11-06 08:00,1372,94,3.5
2003-11-06 09:00,1411,295,3.4
2003-11-06 10:00,1383,490,3.3
2003-11-06 11:00,1374,629,3.7
2003-11-06 12:00,1379,691,4.0
2003-11-06 13:00,1352,583,4.2
2003-11-06 14:00,1338,535,4.3
2003-11-06 15:00,1329,446,4.6
2003-11-06 16:00,1349,323,4.1
2003-11-06 17:00,1426,33,3.8
2003-11-06 18:00,1566,0,2.9
2003-11-06 19:00,1595,0,2.8
2003-11-06 20:00,1574,0,3.4
2003-11-06 21:00,1475,0,3.1
2003-11-06 22:00,1399,0,3.0
2003-11-06 23:00,1289,0,2.7
2003-11-07 00:00,1175,0,2.4
2003-11-07 01:00,1087,0,2.2
2003-11-07 02:00,1053,0,2.9
2003-11-07 03:00,1038,0,3.2
2003-11-07 04:00,1040,0,1.8
2003-11-07 05:00,1057,0,0.4
2003-11-07 06:00,1124,0,-1.2
2003-11-07 07:00,1265,0,-1.6
2003-11-07 08:00,1390,257,0.6
2003-11-07 09:00,1397,794,3.0
2003-11-07 10:00,1373,1244,5.1
2003-11-07 11:00,1364,1561,6.1
2003-11-07 12:00,1349,1726,6.9
2003-11-07 13:00,1339,1673,6.3
2003-11-07 14:00,1316,992,6.2
2003-11-07 15:00,1351,566,6.0
2003-11-07 16:00,1390,282,5.5
2003-11-07 17:00,1499,22,5.0
2003-11-07 18:00,1669,0,3.2
2003-11-07 19:00,1661,0,1.7
2003-11-07 20:00,1632,0,1.2
2003-11-07 21:00,1581,0,-0.5
2003-11-07 22:00,1475,0,-1.1
2003-11-07 23:00,1371,0,-1.5
2003-11-08 00:00,1224,0,-2.0
2003-11-08 01:00,1144,0,-3.4
2003-11-08 02:00,1112,0,-4.0
2003-11-08 03:00,1097,0,-4.7
2003-11-08 04:00,1095,0,-5.3
2003-11-08 05:00,1109,0,-5.4
2003-11-08 06:00,1149,0,-5.8
2003-11-08 07:00,1220,0,-6.0
2003-11-08 08:00,1314,251,-5.5
2003-11-08 09:00,1415,794,-4.9
2003-11-08 10:00,1455,1258,-4.3
2003-11-08 11:00,1479,1296,-3.4
2003-11-08 12:00,1447,1418,-2.7
2003-11-08 13:00,1473,1488,-2.4
2003-11-08 14:00,1441,1378,-1.7
2003-11-08 15:00,1416,1072,-1.6
2003-11-08 16:00,1420,547,-1.9
2003-11-08 17:00,1514,63,-2.7
2003-11-08 18:00,1675,0,-3.2
2003-11-08 19:00,1678,0,-4.0
2003-11-08 20:00,1633,0,-2.9
2003-11-08 21:00,1577,0,-3.7
2003-11-08 22:00,1487,0,-3.4
2003-11-08 23:00,1403,0,-3.9
2003-11-09 00:00,1267,0,-4.8
2003-11-09 01:00,1166,0,-5.8
2003-11-09 02:00,1127,0,-5.9
2003-11-09 03:00,1114,0,-6.6
2003-11-09 04:00,1109,0,-8.0
2003-11-09 05:00,1116,0,-7.2
2003-11-09 06:00,1146,0,-8.4
2003-11-09 07:00,1216,0,-7.3
2003-11-09 08:00,1277,226,-6.1
2003-11-09 09:00,1373,408,-4.4
2003-11-09 10:00,1395,679,-2.8
2003-11-09 11:00,1421,735,-1.5
2003-11-09 12:00,1447,809,0.1
2003-11-09 13:00,1448,796,0.7
2003-11-09 14:00,1426,564,0.9
2003-11-09 15:00,1395,386,1.1
2003-11-09 16:00,1376,228,1.1
2003-11-09 17:00,1449,4,0.9
2003-11-09 18:00,1605,0,0.5
2003-11-09 19:00,1606,0,0.3
2003-11-09 20:00,1551,0,-0.1
2003-11-09 21:00,1495,0,-0.7
2003-11-09 22:00,1412,0,-0.6
2003-11-09 23:00,1295,0,-2.5
2003-11-10 00:00,1184,0,-3.5
2003-11-10 01:00,1129,0,-3.9
2003-11-10 02:00,1103,0,-3.6
2003-11-10 03:00,1094,0,-3.1
2003-11-10 04:00,1100,0,-2.8
2003-11-10 05:00,1120,0,-2.6
2003-11-10 06:00,1205,0,-2.7
2003-11-10 07:00,1360,0,-2.3
2003-11-10 08:00,1566,220,-1.1
2003-11-10 09:00,1567,755,0.7
2003-11-10 10:00,1540,1234,2.4
2003-11-10 11:00,1519,1559,4.3
2003-11-10 12:00,1469,1725,4.8
2003-11-10 13:00,1405,1582,5.7
2003-11-10 14:00,1429,1361,7.0
2003-11-10 15:00,1413,1001,6.7
2003-11-10 16:00,1436,534,6.1
2003-11-10 17:00,1546,36,2.9
2003-11-10 18:00,1733,0,2.6
2003-11-10 19:00,1724,0,3.1
2003-11-10 20:00,1655,0,2.7
2003-11-10 21:00,1598,0,2.5
2003-11-10 22:00,1526,0,2.3
2003-11-10 23:00,1424,0,0.9
2003-11-11 00:00,1265,0,1.6
2003-11-11 01:00,1113,0,1.4
2003-11-11 02:00,1074,0,0.7
2003-11-11 03:00,1061,0,0.4
2003-11-11 04:00,1062,0,-0.1
2003-11-11 05:00,1076,0,0.0
2003-11-11 06:00,1134,0,-0.1
2003-11-11 07:00,1306,0,0.3
2003-11-11 08:00,1494,114,0.7
2003-11-11 09:00,1566,436,1.4
2003-11-11 10:00,1591,644,2.2
2003-11-11 11:00,1595,358,2.2
2003-11-11 12:00,1598,655,2.1
2003-11-11 13:00,1597,637,2.4
2003-11-11 14:00,1564,538,2.0
2003-11-11 15:00,1552,373,2.5
2003-11-11 16:00,1581,46,3.1
2003-11-11 17:00,1659,10,3.8
2003-11-11 18:00,1750,0,4.3
2003-11-11 19:00,1710,0,5.4
2003-11-11 20:00,1659,0,6.2
2003-11-11 21:00,1602,0,7.6
2003-11-11 22:00,1486,0,7.4
2003-11-11 23:00,1389,0,7.2
2003-11-12 00:00,1168,0,7.8
2003-11-12 01:00,1051,0,7.8
2003-11-12 02:00,1014,0,7.5
2003-11-12 03:00,997,0,7.7
2003-11-12 04:00,989,0,7.1
2003-11-12 05:00,1003,0,6.9
2003-11-12 06:00,1067,0,7.1
2003-11-12 07:00,1241,0,7.5
2003-11-12 08:00,1372,65,7.0
2003-11-12 09:00,1410,251,7.4
2003-11-12 10:00,1423,440,8.3
2003-11-12 11:00,1396,574,9.5
2003-11-12 12:00,1353,762,10.4
2003-11-12 13:00,1301,690,11.0
2003-11-12 14:00,1288,687,10.6
2003-11-12 15:00,1283,410,10.5
2003-11-12 16:00,1378,183,10.5
2003-11-12 17:00,1495,16,10.2
2003-11-12 18:00,1629,0,9.6
2003-11-12 19:00,1610,0,9.1
2003-11-12 20:00,1572,0,8.5
2003-11-12 21:00,1521,0,7.8
2003-11-12 22:00,1446,0,7.3
2003-11-12 23:00,1262,0,7.1
2003-11-13 00:00,1116,0,6.9
2003-11-13 01:00,1024,0,7.0
2003-11-13 02:00,1004,0,7.5
2003-11-13 03:00,992,0,9.5
2003-11-13 04:00,995,0,7.2
2003-11-13 05:00,1025,0,6.2
2003-11-13 06:00,1107,0,6.7
2003-11-13 07:00,1236,0,6.3
2003-11-13 08:00,1415,62,4.9
2003-11-13 09:00,1499,250,3.9
2003-11-13 10:00,1489,371,3.1
2003-11-13 11:00,1483,487,3.2
2003-11-13 12:00,1486,335,2.5
2003-11-13 13:00,1491,380,2.5
2003-11-13 14:00,1497,316,2.3
2003-11-13 15:00,1530,209,1.9
2003-11-13 16:00,1573,79,2.1
2003-11-13 17:00,1695,7,2.0
2003-11-13 18:00,1824,0,1.0
2003-11-13 19:00,1780,0,-0.2
2003-11-13 20:00,1743,0,-0.8
2003-11-13 21:00,1672,0,-1.3
2003-11-13 22:00,1617,0,-1.5
2003-11-13 23:00,1465,0,-2.3
2003-11-14 00:00,1377,0,-3.0
2003-11-14 01:00,1292,0,-4.5
2003-11-14 02:00,1232,0,-5.4
2003-11-14 03:00,1206,0,-6.2
2003-11-14 04:00,1272,0,-6.3
2003-11-14 05:00,1297,0,-6.6
2003-11-14 06:00,1356,0,-6.3
2003-11-14 07:00,1493,0,-6.8
2003-11-14 08:00,1618,160,-6.5
2003-11-14 09:00,1460,660,-5.7
2003-11-14 10:00,1642,1157,-4.7
2003-11-14 11:00,1619,1477,-3.7
2003-11-14 12:00,1600,1621,-3.1
2003-11-14 13:00,1576,1580,-2.6
2003-11-14 14:00,1566,1356,-2.1
2003-11-14 15:00,1558,973,-1.6
2003-11-14 16:00,1556,471,-1.9
2003-11-14 17:00,1655,0,-2.3
2003-11-14 18:00,1788,0,-2.9
2003-11-14 19:00,1751,0,-3.7
2003-11-14 20:00,1669,0,-4.0
2003-11-14 21:00,1632,0,-4.1
2003-11-14 22:00,1591,0,-4.4
2003-11-14 23:00,1485,0,-4.9
2003-11-15 00:00,1363,0,-4.8
2003-11-15 01:00,1210,0,-5.3
2003-11-15 02:00,1162,0,-5.4
2003-11-15 03:00,1150,0,-5.5
2003-11-15 04:00,1144,0,-5.9
2003-11-15 05:00,1146,0,-6.1
2003-11-15 06:00,1184,0,-6.2
2003-11-15 07:00,1257,0,-6.3
2003-11-15 08:00,1370,161,-5.6
2003-11-15 09:00,1479,675,-4.6
2003-11-15 10:00,1527,1133,-3.4
2003-11-15 11:00,1510,1450,-1.5
2003-11-15 12:00,1509,1596,-0.8
2003-11-15 13:00,1505,1558,0.7
2003-11-15 14:00,1426,1336,1.3
2003-11-15 15:00,1412,954,1.0
